Model,Settings,Embedding Method,Scenario,Accuracy,F1_Score,Precision,Recall,F2_Score
KNN,{'n_neighbors': 5},TransH,Baseline,0.7833333333333333,0.7346938775510204,0.8571428571428571,0.6428571428571429,0.6766917293233083
KNN,{'n_neighbors': 5},TransH,TransH Only,0.725,0.6590136054421769,0.7785714285714285,0.5714285714285714,0.6034973798131693
KNN,{'n_neighbors': 5},TransH,TransH + Tabular,0.7444444444444445,0.6842403628117913,0.8047619047619047,0.5952380952380952,0.627895496316549
KNN,{'n_neighbors': 5},TransH,TransH FE Only,0.7458333333333333,0.6759709697832621,0.8369047619047618,0.5714285714285714,0.6087168978279629
KNN,{'n_neighbors': 5},TransH,TransH + Tabular + FE,0.7533333333333333,0.6877155513368137,0.8409523809523808,0.5857142857142856,0.622311864127032
KNN,{'n_neighbors': 5},DistMult,Baseline,0.7583333333333333,0.6955452723725148,0.8436507936507934,0.5952380952380952,0.631375174993078
KNN,{'n_neighbors': 5},DistMult,DistMult Only,0.7166666666666667,0.6870907529426751,0.7897959183673467,0.6530612244897959,0.6574577911900802
KNN,{'n_neighbors': 5},DistMult,DistMult + Tabular,0.725,0.6930411435187183,0.7982142857142857,0.6517857142857143,0.6598620334567338
KNN,{'n_neighbors': 5},DistMult,DistMult FE Only,0.7018518518518518,0.6892391863957235,0.7641047062099693,0.6904761904761905,0.6785887371686417
KNN,{'n_neighbors': 5},DistMult,DistMult + Tabular + FE,0.71,0.6937846555112531,0.773408521303258,0.6857142857142857,0.6783990363841084
KNN,{'n_neighbors': 10},TransH,Baseline,0.8,0.7391304347826088,0.9444444444444444,0.6071428571428571,0.653846153846154
KNN,{'n_neighbors': 10},TransH,TransH Only,0.5666666666666667,0.48494983277591974,0.5972222222222222,0.4107142857142857,0.4372171945701358
KNN,{'n_neighbors': 10},TransH,TransH + Tabular,0.6444444444444445,0.5696767001114827,0.7129629629629629,0.4761904761904761,0.5094268476621419
KNN,{'n_neighbors': 10},TransH,TransH FE Only,0.7083333333333334,0.6494797473058342,0.7654914529914529,0.5714285714285714,0.5994614400944325
KNN,{'n_neighbors': 10},TransH,TransH + Tabular + FE,0.72,0.6559474342083037,0.7998931623931623,0.5642857142857143,0.596756652075546
KNN,{'n_neighbors': 10},DistMult,Baseline,0.7333333333333334,0.6698112676373545,0.8239850427350427,0.5714285714285714,0.606271569037314
KNN,{'n_neighbors': 10},DistMult,DistMult Only,0.7047619047619048,0.574123943689161,0.7062728937728938,0.4897959183673469,0.5196613448891263
KNN,{'n_neighbors': 10},DistMult,DistMult + Tabular,0.7145833333333333,0.5912473396169049,0.7356358408748114,0.5,0.5322230566229467
KNN,{'n_neighbors': 10},DistMult,DistMult FE Only,0.7351851851851853,0.6243186228693476,0.7564626277861571,0.5396825396825397,0.569705518930542
KNN,{'n_neighbors': 10},DistMult,DistMult + Tabular + FE,0.7383333333333334,0.6314519779737171,0.7697052538964304,0.5428571428571428,0.5742734285759493
KNN,{'n_neighbors': 15},TransH,Baseline,0.8,0.75,0.9,0.6428571428571429,0.6818181818181819
KNN,{'n_neighbors': 15},TransH,TransH Only,0.6833333333333333,0.5328947368421053,0.75,0.4285714285714286,0.46385991058122206
KNN,{'n_neighbors': 15},TransH,TransH + Tabular,0.7222222222222223,0.6052631578947368,0.7999999999999999,0.5,0.5365126676602087
KNN,{'n_neighbors': 15},TransH,TransH FE Only,0.7458333333333333,0.6428362573099415,0.85,0.5267857142857143,0.5671131829156992
KNN,{'n_neighbors': 15},TransH,TransH + Tabular + FE,0.7566666666666666,0.6642690058479532,0.86,0.55,0.5900541826961957
KNN,{'n_neighbors': 15},DistMult,Baseline,0.7638888888888888,0.6785575048732944,0.8666666666666667,0.5654761904761905,0.60534818254986
