Model,Settings,Embedding Method,Scenario,Accuracy,F1_Score,Precision,Recall,F2_Score
KNN,{'n_neighbors': 5},TransH,Baseline,0.7833333333333333,0.7346938775510204,0.8571428571428571,0.6428571428571429,0.6766917293233083
KNN,{'n_neighbors': 5},TransH,TransH Only,0.6583333333333333,0.3673469387755102,0.42857142857142855,0.32142857142857145,0.33834586466165417
KNN,{'n_neighbors': 5},TransH,TransH + Tabular,0.6944444444444445,0.4810090702947846,0.569047619047619,0.4166666666666667,0.4402103744209008
KNN,{'n_neighbors': 5},TransH,TransH FE Only,0.7375,0.57229526425955,0.655952380952381,0.5089285714285714,0.5323636631686167
KNN,{'n_neighbors': 5},TransH,TransH + Tabular + FE,0.7433333333333334,0.5995028780743066,0.6947619047619048,0.5285714285714286,0.5546788093227721
KNN,{'n_neighbors': 5},DistMult,Baseline,0.75,0.6220347113204255,0.7218253968253968,0.5476190476190476,0.5750142959895282
KNN,{'n_neighbors': 5},DistMult,DistMult Only,0.719047619047619,0.5510297525603648,0.6901360544217686,0.4795918367346939,0.5051846674984134
KNN,{'n_neighbors': 5},DistMult,DistMult + Tabular,0.7250000000000001,0.5706927001569859,0.7101190476190475,0.49553571428571425,0.5225290083035359
KNN,{'n_neighbors': 5},DistMult,DistMult FE Only,0.7425925925925926,0.6047482870791142,0.727002371829958,0.5396825396825397,0.5629729876803692
KNN,{'n_neighbors': 5},DistMult,DistMult + Tabular + FE,0.745,0.6151067917045361,0.7393021346469622,0.5464285714285714,0.5710696283062716
KNN,{'n_neighbors': 10},TransH,Baseline,0.8,0.7391304347826088,0.9444444444444444,0.6071428571428571,0.653846153846154
KNN,{'n_neighbors': 10},TransH,TransH Only,0.6666666666666667,0.3695652173913044,0.4722222222222222,0.30357142857142855,0.326923076923077
KNN,{'n_neighbors': 10},TransH,TransH + Tabular,0.7000000000000001,0.47826086956521746,0.611111111111111,0.3928571428571428,0.42307692307692313
KNN,{'n_neighbors': 10},TransH,TransH FE Only,0.7333333333333334,0.5543478260869565,0.7083333333333333,0.4553571428571428,0.4903846153846154
KNN,{'n_neighbors': 10},TransH,TransH + Tabular + FE,0.7433333333333334,0.5857004830917875,0.7549019607843137,0.4785714285714285,0.5163387000596303
KNN,{'n_neighbors': 10},DistMult,Baseline,0.7527777777777778,0.6112721417069243,0.7864923747276689,0.49999999999999994,0.539256609024051
KNN,{'n_neighbors': 10},DistMult,DistMult Only,0.6928571428571428,0.595376121463078,0.7290813761401997,0.5306122448979591,0.549327964529326
KNN,{'n_neighbors': 10},DistMult,DistMult + Tabular,0.70625,0.6133454106280194,0.7560017596782302,0.5401785714285714,0.5623927381939293
KNN,{'n_neighbors': 10},DistMult,DistMult FE Only,0.7296296296296297,0.6454137854819868,0.783112675269538,0.5714285714285714,0.5945548619336986
KNN,{'n_neighbors': 10},DistMult,DistMult + Tabular + FE,0.7366666666666667,0.6547854504120489,0.7992458521870287,0.575,0.6004839911249441
KNN,{'n_neighbors': 15},TransH,Baseline,0.8,0.75,0.9,0.6428571428571429,0.6818181818181819
KNN,{'n_neighbors': 15},TransH,TransH Only,0.6666666666666667,0.375,0.45,0.32142857142857145,0.34090909090909094
KNN,{'n_neighbors': 15},TransH,TransH + Tabular,0.7055555555555556,0.4911347517730496,0.5982456140350877,0.4166666666666667,0.4435577145500809
KNN,{'n_neighbors': 15},TransH,TransH FE Only,0.75,0.5865328820116054,0.670906432748538,0.5267857142857143,0.5484956240420571
KNN,{'n_neighbors': 15},TransH,TransH + Tabular + FE,0.7566666666666666,0.613907156673114,0.715672514619883,0.5428571428571429,0.5685674916000579
KNN,{'n_neighbors': 15},DistMult,Baseline,0.7638888888888888,0.636589297227595,0.7463937621832359,0.5595238095238095,0.5874426066364119
KNN,{'n_neighbors': 15},DistMult,DistMult Only,0.7214285714285714,0.6365570599613152,0.7064327485380117,0.6224489795918368,0.6198013040272234
KNN,{'n_neighbors': 15},DistMult,DistMult + Tabular,0.73125,0.6507374274661508,0.7306286549707602,0.625,0.6275534137510932
KNN,{'n_neighbors': 15},DistMult,DistMult FE Only,0.7351851851851852,0.6666685629764477,0.7244476933073424,0.6626984126984127,0.6565094671939542
KNN,{'n_neighbors': 15},DistMult,DistMult + Tabular + FE,0.7416666666666666,0.675001706678803,0.7420029239766082,0.6607142857142858,0.659040338656377
KNN,{'n_neighbors': 20},TransH,Baseline,0.7666666666666667,0.6956521739130435,0.8888888888888888,0.5714285714285714,0.6153846153846154
KNN,{'n_neighbors': 20},TransH,TransH Only,0.65,0.34782608695652173,0.4444444444444444,0.2857142857142857,0.3076923076923077
KNN,{'n_neighbors': 20},TransH,TransH + Tabular,0.688888888888889,0.463768115942029,0.5925925925925926,0.38095238095238093,0.4102564102564103
KNN,{'n_neighbors': 20},TransH,TransH FE Only,0.7291666666666667,0.5596904937361827,0.6460573476702509,0.5089285714285714,0.5262237762237763
KNN,{'n_neighbors': 20},TransH,TransH + Tabular + FE,0.7366666666666667,0.5868828297715549,0.6946236559139785,0.5214285714285714,0.544055944055944
KNN,{'n_neighbors': 20},DistMult,Baseline,0.7416666666666667,0.6050110537951363,0.7270011947431302,0.5297619047619047,0.5559440559440559
KNN,{'n_neighbors': 20},DistMult,DistMult Only,0.7119047619047619,0.518580903252974,0.6231438812083974,0.4540816326530611,0.47652347652347654
KNN,{'n_neighbors': 20},DistMult,DistMult + Tabular,0.71875,0.5407148120854827,0.6563620071684588,0.46875,0.4938811188811189
KNN,{'n_neighbors': 20},DistMult,DistMult FE Only,0.7388888888888889,0.5784131662982068,0.6945440063719635,0.503968253968254,0.5302160526041123
KNN,{'n_neighbors': 20},DistMult,DistMult + Tabular + FE,0.7416666666666667,0.5901370670596904,0.713978494623656,0.5107142857142857,0.5387329088821626
KNN,{'n_neighbors': 25},TransH,Baseline,0.7833333333333333,0.7234042553191489,0.8947368421052632,0.6071428571428571,0.648854961832061
KNN,{'n_neighbors': 25},TransH,TransH Only,0.6583333333333333,0.36170212765957444,0.4473684210526316,0.30357142857142855,0.3244274809160305
KNN,{'n_neighbors': 25},TransH,TransH + Tabular,0.7000000000000001,0.48226950354609927,0.5964912280701754,0.4047619047619047,0.43256997455470736
KNN,{'n_neighbors': 25},TransH,TransH FE Only,0.7375,0.5748168817579351,0.6443381180223285,0.5357142857142857,0.5485654119505132
KNN,{'n_neighbors': 25},TransH,TransH + Tabular + FE,0.7466666666666667,0.6045343564701778,0.6944178628389155,0.55,0.5686233219268229
KNN,{'n_neighbors': 25},DistMult,Baseline,0.7527777777777778,0.6243460062783397,0.7278043593833067,0.5595238095238095,0.5819952619110292
KNN,{'n_neighbors': 25},DistMult,DistMult Only,0.7119047619047619,0.5637251482385769,0.6714513556618819,0.5,0.5218945562924029
KNN,{'n_neighbors': 25},DistMult,DistMult + Tabular,0.7208333333333333,0.5836850366236483,0.6993620414673046,0.5133928571428571,0.5377646069848603
KNN,{'n_neighbors': 25},DistMult,DistMult FE Only,0.7407407407407408,0.6180374928718144,0.7208614971772866,0.5555555555555556,0.5772193331928918
KNN,{'n_neighbors': 25},DistMult,DistMult + Tabular + FE,0.745,0.6285741691165478,0.7382490316700843,0.5607142857142857,0.5843828960568087
KNN,{'n_neighbors': 30},TransH,Baseline,0.7833333333333333,0.7234042553191489,0.8947368421052632,0.6071428571428571,0.648854961832061
KNN,{'n_neighbors': 30},TransH,TransH Only,0.6083333333333334,0.4921369102682701,0.6140350877192983,0.4107142857142857,0.4398120963006459
