Model,Settings,Embedding Method,Scenario,Accuracy,F1_Score,Precision,Recall,F2_Score
KNN,{'n_neighbors': 5},TransH,Baseline,0.7833333333333333,0.7346938775510204,0.8571428571428571,0.6428571428571429,0.6766917293233083
KNN,{'n_neighbors': 5},TransH,TransH Only,0.65,0.3673469387755102,0.42857142857142855,0.32142857142857145,0.33834586466165417
KNN,{'n_neighbors': 5},TransH,TransH + Tabular,0.688888888888889,0.4810090702947846,0.569047619047619,0.4166666666666667,0.4402103744209008
KNN,{'n_neighbors': 5},TransH,TransH FE Only,0.7125,0.5494360480041074,0.6267857142857143,0.4910714285714286,0.5126395326404931
KNN,{'n_neighbors': 5},TransH,TransH + Tabular + FE,0.7233333333333334,0.5812155050699526,0.6714285714285715,0.5142857142857143,0.5388995049002733
KNN,{'n_neighbors': 5},DistMult,Baseline,0.7333333333333334,0.6067952338167971,0.7023809523809524,0.5357142857142857,0.5618648756374458
KNN,{'n_neighbors': 5},DistMult,DistMult Only,0.7047619047619048,0.5201102004143976,0.6020408163265306,0.45918367346938777,0.4815984648320964
KNN,{'n_neighbors': 5},DistMult,DistMult + Tabular,0.7145833333333333,0.5469331600564754,0.6339285714285714,0.48214285714285715,0.505985122893498
KNN,{'n_neighbors': 5},DistMult,DistMult FE Only,0.7388888888888889,0.5893374121136925,0.6666666666666666,0.5317460317460317,0.5529391568577124
KNN,{'n_neighbors': 5},DistMult,DistMult + Tabular + FE,0.7433333333333334,0.6038730586574252,0.6857142857142857,0.5428571428571429,0.5653144141042721
KNN,{'n_neighbors': 10},TransH,Baseline,0.8,0.7391304347826088,0.9444444444444444,0.6071428571428571,0.653846153846154
KNN,{'n_neighbors': 10},TransH,TransH Only,0.6666666666666667,0.6195652173913044,0.7222222222222222,0.5535714285714286,0.576923076923077
KNN,{'n_neighbors': 10},TransH,TransH + Tabular,0.7111111111111112,0.6594202898550726,0.7962962962962963,0.5714285714285715,0.6025641025641026
KNN,{'n_neighbors': 10},TransH,TransH FE Only,0.675,0.636231884057971,0.7300347222222222,0.5803571428571429,0.5994925213675214
KNN,{'n_neighbors': 10},TransH,TransH + Tabular + FE,0.7,0.6568115942028986,0.7729166666666666,0.5857142857142857,0.6103632478632479
KNN,{'n_neighbors': 10},DistMult,Baseline,0.7166666666666667,0.6705314009661837,0.8015046296296297,0.5892857142857143,0.6176103988603989
KNN,{'n_neighbors': 10},DistMult,DistMult Only,0.6642857142857143,0.6318840579710147,0.7371970184470185,0.5714285714285714,0.591700571985807
KNN,{'n_neighbors': 10},DistMult,DistMult + Tabular,0.68125,0.6452898550724638,0.7631029466966968,0.5758928571428571,0.5994687697183503
KNN,{'n_neighbors': 10},DistMult,DistMult FE Only,0.7037037037037037,0.6700270409868442,0.780535952619286,0.6031746031746031,0.6261295795712181
KNN,{'n_neighbors': 10},DistMult,DistMult + Tabular + FE,0.7133333333333334,0.6769373803664206,0.7969268018018019,0.6035714285714284,0.6289012369987117
KNN,{'n_neighbors': 15},TransH,Baseline,0.8,0.75,0.9,0.6428571428571429,0.6818181818181819
KNN,{'n_neighbors': 15},TransH,TransH Only,0.65,0.6875,0.6903846153846154,0.7678571428571429,0.7220066518847007
KNN,{'n_neighbors': 15},TransH,TransH + Tabular,0.6944444444444445,0.6994680851063829,0.758502024291498,0.7142857142857143,0.6976227552004874
KNN,{'n_neighbors': 15},TransH,TransH FE Only,0.7458333333333333,0.74873899486427,0.7855431848852902,0.7678571428571428,0.7520903058369853
KNN,{'n_neighbors': 15},TransH,TransH + Tabular + FE,0.7533333333333333,0.7436720469552458,0.8073819163292848,0.7357142857142857,0.7314432370360004
KNN,{'n_neighbors': 15},DistMult,Baseline,0.7611111111111111,0.7447267057960382,0.8228182636077374,0.7202380952380952,0.7231723944996974
KNN,{'n_neighbors': 15},DistMult,DistMult Only,0.7285714285714285,0.6383371763966041,0.7052727973780606,0.6173469387755102,0.619862052428312
KNN,{'n_neighbors': 15},DistMult,DistMult + Tabular,0.7375,0.6522950293470287,0.729613697705803,0.6205357142857142,0.6276065686020458
KNN,{'n_neighbors': 15},DistMult,DistMult FE Only,0.7592592592592593,0.682381906428128,0.759656620182936,0.6468253968253967,0.6559117211103153
KNN,{'n_neighbors': 15},DistMult,DistMult + Tabular + FE,0.7633333333333334,0.6891437157853153,0.7736909581646424,0.6464285714285714,0.6585023671811019
KNN,{'n_neighbors': 20},TransH,Baseline,0.7666666666666667,0.6956521739130435,0.8888888888888888,0.5714285714285714,0.6153846153846154
KNN,{'n_neighbors': 20},TransH,TransH Only,0.7166666666666667,0.6963109354413701,0.7470760233918128,0.6964285714285714,0.691025641025641
KNN,{'n_neighbors': 20},TransH,TransH + Tabular,0.7388888888888889,0.7053420420672963,0.7962962962962963,0.6666666666666666,0.6769687479611144
KNN,{'n_neighbors': 20},TransH,TransH FE Only,0.7375,0.6790065315504723,0.8472222222222222,0.6071428571428571,0.6286943029063197
KNN,{'n_neighbors': 20},TransH,TransH + Tabular + FE,0.7466666666666667,0.6878860763042076,0.8567251461988304,0.6071428571428571,0.6327264346914679
KNN,{'n_neighbors': 20},DistMult,Baseline,0.75,0.6891804259056803,0.8620857699805068,0.6011904761904762,0.6298361314736592
KNN,{'n_neighbors': 20},DistMult,DistMult Only,0.7047619047619048,0.6498393798403368,0.7960735171261487,0.576530612244898,0.6002217143013658
KNN,{'n_neighbors': 20},DistMult,DistMult + Tabular,0.7125,0.655565979099425,0.8076754385964913,0.5758928571428571,0.6021170769367721
KNN,{'n_neighbors': 20},DistMult,DistMult FE Only,0.7259259259259259,0.6764753147550445,0.8012670565302145,0.6190476190476191,0.6365665308507044
KNN,{'n_neighbors': 20},DistMult,DistMult + Tabular + FE,0.73,0.6783930006708443,0.810029239766082,0.6142857142857142,0.6344483393040955
KNN,{'n_neighbors': 25},TransH,Baseline,0.7833333333333333,0.7234042553191489,0.8947368421052632,0.6071428571428571,0.648854961832061
KNN,{'n_neighbors': 25},TransH,TransH Only,0.6083333333333334,0.6380179171332587,0.6661184210526316,0.6785714285714286,0.6525524809160306
KNN,{'n_neighbors': 25},TransH,TransH + Tabular,0.6666666666666666,0.6664800298618888,0.7423245614035089,0.6547619047619048,0.6513199745547075
KNN,{'n_neighbors': 25},TransH,TransH FE Only,0.7083333333333334,0.69551219630946,0.8067434210526316,0.6517857142857143,0.6615669039929537
KNN,{'n_neighbors': 25},TransH,TransH + Tabular + FE,0.7233333333333334,0.7010906081113978,0.8243421052631579,0.6428571428571429,0.6590245155607752
KNN,{'n_neighbors': 25},DistMult,Baseline,0.7333333333333334,0.7048095493126896,0.8360745614035087,0.636904761904762,0.6573295899393229
KNN,{'n_neighbors': 25},DistMult,DistMult Only,0.6976190476190477,0.620449001451693,0.7574516648764769,0.5561224489795918,0.5754301647259021
KNN,{'n_neighbors': 25},DistMult,DistMult + Tabular,0.7083333333333333,0.6333184081851251,0.7746123120300752,0.5625,0.5846082643641719
KNN,{'n_neighbors': 25},DistMult,DistMult FE Only,0.7296296296296296,0.6629496961645557,0.7822942773600668,0.6071428571428572,0.6238184572125972
KNN,{'n_neighbors': 25},DistMult,DistMult + Tabular + FE,0.7366666666666666,0.6716547265481001,0.7940648496240602,0.6107142857142858,0.6296184296731557
KNN,{'n_neighbors': 30},TransH,Baseline,0.7833333333333333,0.7234042553191489,0.8947368421052632,0.6071428571428571,0.648854961832061
KNN,{'n_neighbors': 30},TransH,TransH Only,0.6583333333333333,0.36170212765957444,0.4473684210526316,0.30357142857142855,0.3244274809160305
KNN,{'n_neighbors': 30},TransH,TransH + Tabular,0.7000000000000001,0.48226950354609927,0.5964912280701754,0.4047619047619047,0.43256997455470736
KNN,{'n_neighbors': 30},TransH,TransH FE Only,0.7333333333333334,0.5573543015726179,0.6973684210526316,0.4642857142857143,0.4975044039929536
KNN,{'n_neighbors': 30},TransH,TransH + Tabular + FE,0.7433333333333334,0.5905642923219241,0.736842105263158,0.4928571428571429,0.5277745155607751
KNN,{'n_neighbors': 30},DistMult,Baseline,0.75,0.6127042861547949,0.7631578947368421,0.511904761904762,0.5479545899393228
KNN,{'n_neighbors': 30},DistMult,DistMult Only,0.6904761904761905,0.5908121680554613,0.7069303694017653,0.5255102040816327,0.5465288890257486
KNN,{'n_neighbors': 30},DistMult,DistMult + Tabular,0.7020833333333334,0.6073861789634222,0.7304061784897026,0.5357142857142857,0.5593196481265377
KNN,{'n_neighbors': 30},DistMult,DistMult FE Only,0.725925925925926,0.6405277565628742,0.7559166031019579,0.5714285714285714,0.5944966215301584
KNN,{'n_neighbors': 30},DistMult,DistMult + Tabular + FE,0.7316666666666667,0.6488154064385017,0.7697986270022883,0.575,0.5999324555603487
KNN,{'n_neighbors': 35},TransH,Baseline,0.8,0.75,0.9,0.6428571428571429,0.6818181818181819
KNN,{'n_neighbors': 35},TransH,TransH Only,0.6666666666666667,0.375,0.45,0.32142857142857145,0.34090909090909094
KNN,{'n_neighbors': 35},TransH,TransH + Tabular,0.7111111111111112,0.49637681159420294,0.6148148148148148,0.4166666666666667,0.4452214452214453
KNN,{'n_neighbors': 35},TransH,TransH FE Only,0.6666666666666667,0.3722826086956522,0.46111111111111114,0.3125,0.33391608391608396
KNN,{'n_neighbors': 35},TransH,TransH + Tabular + FE,0.6933333333333334,0.44565217391304357,0.5577777777777777,0.37142857142857144,0.39790209790209796
KNN,{'n_neighbors': 35},DistMult,Baseline,0.7111111111111111,0.49637681159420294,0.6148148148148148,0.4166666666666667,0.4452214452214453
KNN,{'n_neighbors': 35},DistMult,DistMult Only,0.6595238095238095,0.4387548750541673,0.546031746031746,0.3673469387755102,0.3928669755441409
KNN,{'n_neighbors': 35},DistMult,DistMult + Tabular,0.6770833333333334,0.47766051567239637,0.5902777777777779,0.4017857142857143,0.4289858763283961
KNN,{'n_neighbors': 35},DistMult,DistMult FE Only,0.6944444444444444,0.5171797176347227,0.611496913580247,0.4563492063492064,0.47777139624252496
KNN,{'n_neighbors': 35},DistMult,DistMult + Tabular + FE,0.705,0.5404617458712504,0.6403472222222224,0.4750000000000001,0.49817607480009063
KNN,{'n_neighbors': 40},TransH,Baseline,0.7833333333333333,0.7111111111111111,0.9411764705882353,0.5714285714285714,0.6201550387596899
KNN,{'n_neighbors': 40},TransH,TransH Only,0.7166666666666667,0.6222222222222222,0.8235294117647058,0.5,0.5426356589147286
KNN,{'n_neighbors': 40},TransH,TransH + Tabular,0.7388888888888889,0.6518518518518519,0.8627450980392156,0.5238095238095238,0.5684754521963824
KNN,{'n_neighbors': 40},TransH,TransH FE Only,0.7666666666666667,0.691016548463357,0.8970588235294117,0.5625,0.6076542990709509
KNN,{'n_neighbors': 40},TransH,TransH + Tabular + FE,0.77,0.6950354609929079,0.9058823529411765,0.5642857142857143,0.6101544470086987
KNN,{'n_neighbors': 40},DistMult,Baseline,0.7722222222222223,0.6977147360126085,0.9117647058823529,0.5654761904761904,0.6118212123005305
KNN,{'n_neighbors': 40},DistMult,DistMult Only,0.7261904761904763,0.6854361602797149,0.8466755123101872,0.6173469387755102,0.6343082918619932
KNN,{'n_neighbors': 40},DistMult,DistMult + Tabular,0.7333333333333333,0.6886455291336393,0.8584881320949431,0.6116071428571428,0.6325391352242054
KNN,{'n_neighbors': 40},DistMult,DistMult FE Only,0.7518518518518519,0.7104199575204999,0.8695820433436531,0.6349206349206349,0.6562112574541956
KNN,{'n_neighbors': 40},DistMult,DistMult + Tabular + FE,0.755,0.7104890728795611,0.8767414860681113,0.6285714285714284,0.652605635584745
KNN,{'n_neighbors': 45},TransH,Baseline,0.7833333333333333,0.7111111111111111,0.9411764705882353,0.5714285714285714,0.6201550387596899
KNN,{'n_neighbors': 45},TransH,TransH Only,0.6583333333333333,0.35555555555555557,0.47058823529411764,0.2857142857142857,0.31007751937984496
KNN,{'n_neighbors': 45},TransH,TransH + Tabular,0.7000000000000001,0.4740740740740741,0.6274509803921569,0.38095238095238093,0.4134366925064599
KNN,{'n_neighbors': 45},TransH,TransH FE Only,0.7375,0.5576832151300237,0.7205882352941176,0.45535714285714285,0.4913752293035091
KNN,{'n_neighbors': 45},TransH,TransH + Tabular + FE,0.7466666666666667,0.5883687943262412,0.7647058823529411,0.47857142857142854,0.5171311911947452
KNN,{'n_neighbors': 45},DistMult,Baseline,0.7527777777777778,0.6088258471237196,0.7941176470588235,0.49404761904761907,0.5343018324555694
KNN,{'n_neighbors': 45},DistMult,DistMult Only,0.7214285714285714,0.5218507261060453,0.680672268907563,0.42346938775510207,0.45797299924763085
KNN,{'n_neighbors': 45},DistMult,DistMult + Tabular,0.7291666666666667,0.5455082742316786,0.713235294117647,0.4419642857142857,0.4782457541866383
KNN,{'n_neighbors': 45},DistMult,DistMult FE Only,0.7277777777777779,0.5694032860150132,0.7037543699650403,0.5,0.5218815306031767
KNN,{'n_neighbors': 45},DistMult,DistMult + Tabular + FE,0.7333333333333334,0.583574068524623,0.7274965800273597,0.5071428571428571,0.531708881418828
KNN,{'n_neighbors': 50},TransH,Baseline,0.7833333333333333,0.7111111111111111,0.9411764705882353,0.5714285714285714,0.6201550387596899
KNN,{'n_neighbors': 50},TransH,TransH Only,0.625,0.6737373737373737,0.7039215686274509,0.7857142857142857,0.7170542635658914
KNN,{'n_neighbors': 50},TransH,TransH + Tabular,0.6777777777777777,0.6861952861952862,0.7830065359477123,0.7142857142857143,0.6847545219638244
KNN,{'n_neighbors': 50},TransH,TransH FE Only,0.7041666666666666,0.6890650692976275,0.8372549019607842,0.6696428571428571,0.6612036867484588
KNN,{'n_neighbors': 50},TransH,TransH + Tabular + FE,0.7233333333333333,0.6990781423946237,0.8586928104575163,0.6571428571428571,0.6597321801679978
KNN,{'n_neighbors': 50},DistMult,Baseline,0.7333333333333333,0.7010836371807049,0.8724400871459695,0.6428571428571428,0.6531359899332799
KNN,{'n_neighbors': 50},DistMult,DistMult Only,0.7142857142857142,0.6723574032977471,0.8335200746965452,0.6122448979591837,0.6247659134493048
KNN,{'n_neighbors': 50},DistMult,DistMult + Tabular,0.7229166666666667,0.6772016167744176,0.8469771241830064,0.6071428571428572,0.624189554113103
KNN,{'n_neighbors': 50},DistMult,DistMult FE Only,0.7277777777777777,0.6894990802304588,0.8288919466422046,0.6428571428571429,0.6511314555079433
KNN,{'n_neighbors': 50},DistMult,DistMult + Tabular + FE,0.7333333333333333,0.691660283318524,0.8401203990368076,0.6357142857142858,0.648033813833118
SVM,"{'C': 0.9, 'kernel': 'rbf', 'probability': True}",TransH,Baseline,0.8166666666666667,0.7755102040816326,0.9047619047619048,0.6785714285714286,0.7142857142857143
