Model,Settings,Embedding Method,Scenario,Accuracy,F1_Score,Precision,Recall,F2_Score
KNN,{'n_neighbors': 5},TransH,Baseline,0.7868852459016393,0.7547169811320756,0.8,0.7142857142857143,0.7299270072992701
KNN,{'n_neighbors': 5},TransH,TransH Only,0.7049180327868853,0.6682675814751287,0.6962962962962963,0.6428571428571428,0.6527332878222969
KNN,{'n_neighbors': 5},TransH,TransH + Tabular,0.73224043715847,0.6970840480274444,0.7308641975308642,0.6666666666666666,0.6784645276479546
KNN,{'n_neighbors': 5},TransH,TransH Tabular + FE Only,0.7459016393442623,0.7114922813036022,0.7481481481481482,0.6785714285714286,0.6913301475607835
KNN,{'n_neighbors': 5},TransH,TransH + Tabular + FE,0.7540983606557378,0.7201372212692969,0.7585185185185186,0.6857142857142857,0.6990495195084808
KNN,{'n_neighbors': 5},DistMult,Baseline,0.7595628415300547,0.72590051457976,0.7654320987654321,0.6904761904761906,0.7041957674736125
KNN,{'n_neighbors': 5},DistMult,DistMult Only,0.7283372365339579,0.7137755326434574,0.7275132275132276,0.7193877551020409,0.7138256490161828
KNN,{'n_neighbors': 5},DistMult,DistMult + Tabular,0.735655737704918,0.7188932137045346,0.7365740740740742,0.71875,0.7158383188015687
KNN,{'n_neighbors': 5},DistMult,DistMult Tabular + FE Only,0.7413479052823315,0.7228736323075947,0.7436213991769548,0.7182539682539683,0.7174037286346466
KNN,{'n_neighbors': 5},DistMult,DistMult + Tabular + FE,0.7459016393442622,0.7260579671900428,0.7492592592592593,0.7178571428571429,0.7186560565011091
KNN,{'n_neighbors': 5},Autoencoder,Baseline,0.7496274217585692,0.728663332093864,0.7538720538720539,0.7175324675324676,0.719680688391851
KNN,{'n_neighbors': 5},Autoencoder,Autoencoder Only,0.739071038251366,0.7086821284934494,0.7449709513435003,0.6904761904761906,0.695237013454804
KNN,{'n_neighbors': 5},Autoencoder,Autoencoder + Tabular,0.7414880201765446,0.7086552980965174,0.7530501089324618,0.6840659340659342,0.6912910427228495
KNN,{'n_neighbors': 5},Autoencoder,Autoencoder Tabular + FE Only,0.7459016393442621,0.7135926180737504,0.7569531231295937,0.6887755102040817,0.6962609371867453
KNN,{'n_neighbors': 5},Autoencoder,Autoencoder + Tabular + FE,0.7420765027322404,0.6984522093012661,0.7731562482542874,0.6642857142857144,0.6746369298040477
