Model,Settings,Embedding Method,Scenario,Accuracy,F1_Score,Precision,Recall,F2_Score
KNN,{'n_neighbors': 5},TransH,Baseline,0.7868852459016393,0.7547169811320756,0.8,0.7142857142857143,0.7299270072992701
KNN,{'n_neighbors': 5},TransH,TransH Only,0.6721311475409836,0.4118412491867275,0.9,0.375,0.38708739745494475
KNN,{'n_neighbors': 5},TransH,TransH Only + t-SNE,0.6174863387978142,0.3806214388517577,0.7458333333333332,0.3333333333333333,0.34920409830329646
KNN,{'n_neighbors': 5},TransH,TransH + Tabular,0.6557377049180328,0.468158386831126,0.7572916666666666,0.41964285714285715,0.43653542666864886
KNN,{'n_neighbors': 5},TransH,TransH + Tabular + t-SNE,0.619672131147541,0.4983362332744246,0.6986904761904762,0.5214285714285715,0.503990246096824
KNN,{'n_neighbors': 5},TransH,TransH Tabular + FE Only,0.6475409836065574,0.5410663579173665,0.7155753968253968,0.5535714285714286,0.5416463729638983
KNN,{'n_neighbors': 5},TransH,TransH + Tabular + FE,0.6651053864168618,0.5681667683247756,0.7264455782312925,0.5714285714285714,0.564058235649728
KNN,{'n_neighbors': 5},TransH,TransH + Tabular + FE + t-SNE,0.6127049180327869,0.5156644408026971,0.6548706501831502,0.5178571428571429,0.5116668982224974
KNN,{'n_neighbors': 5},TransH,TransH Clustered,0.6357012750455373,0.543474774803343,0.6873704025019814,0.5317460317460319,0.5311508985048153
KNN,{'n_neighbors': 5},TransH,TransH Interaction,0.6475409836065573,0.5572124037059875,0.7028438885675727,0.5357142857142858,0.5391045109444101
KNN,{'n_neighbors': 5},DistMult,Baseline,0.6602086438152012,0.5751673652901773,0.711676262334157,0.551948051948052,0.5564520106130338
KNN,{'n_neighbors': 5},DistMult,DistMult Only,0.6502732240437158,0.5272367515159958,0.6523699071396439,0.505952380952381,0.5100810097286144
KNN,{'n_neighbors': 5},DistMult,DistMult Only + t-SNE,0.6418663303909204,0.4866800783224577,0.6021876065904406,0.4670329670329671,0.4708440089802594
KNN,{'n_neighbors': 5},DistMult,DistMult + Tabular,0.6522248243559717,0.5051385041005455,0.6181804172998191,0.4821428571428572,0.4874768443176483
KNN,{'n_neighbors': 5},DistMult,DistMult + Tabular + t-SNE,0.642622950819672,0.50871750578796,0.6086350561464978,0.4952380952380953,0.49664505469647174
KNN,{'n_neighbors': 5},DistMult,DistMult Tabular + FE Only,0.6516393442622951,0.5240924729969674,0.6205953651373417,0.5089285714285714,0.5112251767341466
KNN,{'n_neighbors': 5},DistMult,DistMult + Tabular + FE,0.6595949855351977,0.5370928004215979,0.6326831058070121,0.51890756302521,0.5225474430264735
KNN,{'n_neighbors': 5},DistMult,DistMult + Tabular + FE + t-SNE,0.6530054644808743,0.5072543115092869,0.5975340443732892,0.49007936507936506,0.49351702952500276
KNN,{'n_neighbors': 5},DistMult,DistMult Clustered,0.6609145815358067,0.522299002918054,0.6064357613360986,0.5075187969924811,0.510166615072612
KNN,{'n_neighbors': 5},DistMult,DistMult Interaction,0.6688524590163935,0.5349595629762329,0.6213520685073889,0.5160714285714285,0.5203725700332671
KNN,{'n_neighbors': 5},Autoencoder,Baseline,0.674473067915691,0.5454242019360349,0.62985911286418,0.5255102040816326,0.5303513527602196
KNN,{'n_neighbors': 5},Autoencoder,Autoencoder Only,0.665424739195231,0.5418443139692455,0.6211155168248991,0.5243506493506493,0.5283404326852601
KNN,{'n_neighbors': 5},Autoencoder,Autoencoder Only + t-SNE,0.6585887384176765,0.5356771698836261,0.6138733402040536,0.5170807453416149,0.5215923411927796
KNN,{'n_neighbors': 5},Autoencoder,Autoencoder + Tabular,0.6564207650273224,0.5383572878051418,0.611732784362218,0.5223214285714285,0.5259009936430804
KNN,{'n_neighbors': 5},Autoencoder,Autoencoder + Tabular + t-SNE,0.6504918032786885,0.530736039771197,0.6050412507655071,0.5128571428571429,0.5171726462050495
KNN,{'n_neighbors': 5},Autoencoder,Autoencoder Tabular + FE Only,0.6557377049180328,0.5405879323146755,0.6097424614004001,0.5260989010989011,0.5291116293085689
KNN,{'n_neighbors': 5},Autoencoder,Autoencoder + Tabular + FE,0.6508803885853067,0.5399954223746664,0.605116758565144,0.5277777777777778,0.5299491296279194
KNN,{'n_neighbors': 5},Autoencoder,Autoencoder + Tabular + FE + t-SNE,0.6446135831381733,0.5434371443028438,0.6001721124259126,0.5446428571428571,0.5400921424402113
KNN,{'n_neighbors': 5},Autoencoder,Autoencoder Clustered,0.6399095534200113,0.5413447814196304,0.5955684763652489,0.5431034482758621,0.5384668184415445
KNN,{'n_neighbors': 5},Autoencoder,Autoencoder Interaction,0.6398907103825137,0.5382999553723095,0.6007161938197406,0.5357142857142858,0.5326146986870415
KNN,{'n_neighbors': 5},RDF2Vec,Baseline,0.6446324695928081,0.5452811497516568,0.6071447036965232,0.5414746543778802,0.5389796118680811
KNN,{'n_neighbors': 5},RDF2Vec,RDF2Vec Only,0.6413934426229508,0.5282411138219174,0.5881714317060069,0.5245535714285714,0.5221364989972035
KNN,{'n_neighbors': 5},RDF2Vec,RDF2Vec Only + t-SNE,0.6373571783407849,0.5250543201629781,0.5842369438765319,0.5205627705627706,0.5185690828065574
KNN,{'n_neighbors': 5},RDF2Vec,RDF2Vec + Tabular,0.6412729026036644,0.5311047587102209,0.5903378180762419,0.5252100840336134,0.5238620336582677
KNN,{'n_neighbors': 5},RDF2Vec,RDF2Vec + Tabular + t-SNE,0.6370023419203747,0.5316653266808191,0.5867114413925304,0.5295918367346938,0.5266349764874526
KNN,{'n_neighbors': 5},RDF2Vec,RDF2Vec Tabular + FE Only,0.6411657559198543,0.5378612059711319,0.5926361235760713,0.5347222222222221,0.5322819773433365
