Model,Settings,Embedding Method,Scenario,Accuracy,F1_Score,Precision,Recall,F2_Score
KNN,{'n_neighbors': 5},TransH,Baseline,0.7833333333333333,0.7346938775510204,0.8571428571428571,0.6428571428571429,0.6766917293233083
KNN,{'n_neighbors': 5},TransH,TransH Only,0.5583333333333333,0.5895691609977325,0.6103896103896104,0.6071428571428572,0.5947561210719106
KNN,{'n_neighbors': 5},TransH,TransH + Tabular,0.6333333333333333,0.6379440665154951,0.6926406926406926,0.6190476190476191,0.6220679904890432
KNN,{'n_neighbors': 5},TransH,TransH FE Only,0.6833333333333333,0.6784580498866213,0.7467532467532467,0.6428571428571429,0.6531181570458868
KNN,{'n_neighbors': 5},TransH,TransH + Tabular + FE,0.7033333333333334,0.6897052154195011,0.7688311688311689,0.6428571428571429,0.6578328715013712
KNN,{'n_neighbors': 5},DistMult,Baseline,0.7166666666666667,0.6972033257747543,0.7835497835497836,0.6428571428571429,0.660976014471694
KNN,{'n_neighbors': 5},DistMult,DistMult Only,0.6690476190476191,0.6699838030450275,0.7293648600639482,0.6479591836734694,0.6519057662228177
KNN,{'n_neighbors': 5},DistMult,DistMult + Tabular,0.68125,0.6747774943310658,0.7444442525559547,0.6428571428571428,0.6509099696873897
KNN,{'n_neighbors': 5},DistMult,DistMult FE Only,0.6574074074074074,0.6705092878902403,0.7135800763460338,0.6825396825396824,0.6690259162079122
KNN,{'n_neighbors': 5},DistMult,DistMult + Tabular + FE,0.6683333333333333,0.6742916924345497,0.7272220687114304,0.6749999999999999,0.6665172639810604
KNN,{'n_neighbors': 10},TransH,Baseline,0.8,0.7391304347826088,0.9444444444444444,0.6071428571428571,0.653846153846154
KNN,{'n_neighbors': 10},TransH,TransH Only,0.6666666666666667,0.4320652173913044,0.7222222222222222,0.33928571428571425,0.370026525198939
KNN,{'n_neighbors': 10},TransH,TransH + Tabular,0.7111111111111112,0.5344202898550725,0.7962962962962963,0.42857142857142855,0.464633068081344
KNN,{'n_neighbors': 10},TransH,TransH FE Only,0.6833333333333335,0.4743446291560103,0.8055555555555556,0.36607142857142855,0.4014409027559233
KNN,{'n_neighbors': 10},TransH,TransH + Tabular + FE,0.7066666666666668,0.52730179028133,0.8333333333333334,0.41428571428571426,0.4519219529739694
KNN,{'n_neighbors': 10},DistMult,Baseline,0.7222222222222223,0.5626065643648764,0.851851851851852,0.4464285714285714,0.4855759864526668
KNN,{'n_neighbors': 10},DistMult,DistMult Only,0.6904761904761906,0.5752574538409905,0.7991242474001095,0.5255102040816326,0.5338550472115295
KNN,{'n_neighbors': 10},DistMult,DistMult + Tabular,0.7020833333333334,0.5937758040257602,0.8110758217382537,0.5357142857142857,0.548230036539096
KNN,{'n_neighbors': 10},DistMult,DistMult FE Only,0.7240740740740742,0.6270070638959139,0.820162635195908,0.5753968253968255,0.5865219372411012
KNN,{'n_neighbors': 10},DistMult,DistMult + Tabular + FE,0.7300000000000001,0.6366467830382374,0.8276200558868435,0.5785714285714285,0.5927552397001972
KNN,{'n_neighbors': 15},TransH,Baseline,0.8,0.75,0.9,0.6428571428571429,0.6818181818181819
KNN,{'n_neighbors': 15},TransH,TransH Only,0.6666666666666667,0.375,0.45,0.32142857142857145,0.34090909090909094
KNN,{'n_neighbors': 15},TransH,TransH + Tabular,0.7111111111111112,0.5,0.6,0.4285714285714286,0.4545454545454546
KNN,{'n_neighbors': 15},TransH,TransH FE Only,0.7416666666666668,0.5803571428571428,0.6553571428571429,0.5267857142857143,0.5462662337662338
KNN,{'n_neighbors': 15},TransH,TransH + Tabular + FE,0.7533333333333335,0.6142857142857142,0.7042857142857143,0.55,0.5733766233766234
