Model,Settings,Embedding Method,Scenario,Accuracy,F1_Score,Precision,Recall,F2_Score
KNN,{'n_neighbors': 5},TransH,Baseline,0.7868852459016393,0.7547169811320756,0.8,0.7142857142857143,0.7299270072992701
KNN,{'n_neighbors': 5},TransH,TransH Only,0.6721311475409836,0.4118412491867275,0.9,0.375,0.38708739745494475
KNN,{'n_neighbors': 5},TransH,TransH + Tabular,0.7049180327868853,0.5181505763808952,0.8638888888888889,0.4761904761904762,0.49090140222486517
KNN,{'n_neighbors': 5},TransH,TransH Tabular + FE Only,0.7254098360655737,0.5772921775686903,0.8479166666666667,0.5357142857142857,0.5506578034934664
KNN,{'n_neighbors': 5},TransH,TransH + Tabular + FE,0.7344262295081967,0.6079875882087984,0.8366666666666667,0.5642857142857143,0.5802321251477143
KNN,{'n_neighbors': 5},TransH,TransH Clustered,0.7486338797814206,0.6343158979754171,0.8551169590643276,0.5773809523809523,0.5980305877503217
KNN,{'n_neighbors': 5},TransH,TransH Interaction,0.749414519906323,0.6409637788117557,0.8532581453634086,0.576530612244898,0.5998386499146705
KNN,{'n_neighbors': 5},DistMult,Baseline,0.7540983606557377,0.6551829291017957,0.8466008771929825,0.59375,0.6160996945877455
KNN,{'n_neighbors': 5},DistMult,DistMult Only,0.7304189435336976,0.5823848258682628,0.7525341130604288,0.5277777777777778,0.5476441729668848
KNN,{'n_neighbors': 5},DistMult,DistMult + Tabular,0.7360655737704918,0.5986561472030052,0.7598893974065599,0.5428571428571429,0.5632501260405668
KNN,{'n_neighbors': 5},DistMult,DistMult Tabular + FE Only,0.7406855439642325,0.6128434957420116,0.7635358158241453,0.5584415584415585,0.5784025697913581
KNN,{'n_neighbors': 5},DistMult,DistMult + Tabular + FE,0.7445355191256832,0.623864707698151,0.7687484108822781,0.568452380952381,0.5888443309507202
KNN,{'n_neighbors': 5},DistMult,DistMult Clustered,0.7490542244640607,0.6368830723579749,0.7685882767118465,0.5879120879120879,0.6058454712567861
KNN,{'n_neighbors': 5},DistMult,DistMult Interaction,0.7540983606557379,0.6467850103382362,0.7783149644297078,0.5943877551020408,0.6135912029017095
KNN,{'n_neighbors': 5},Autoencoder,Baseline,0.7562841530054646,0.6539804750578254,0.7797606334677274,0.6023809523809524,0.6213469231948803
KNN,{'n_neighbors': 5},Autoencoder,Autoencoder Only,0.7387295081967213,0.6422733620333783,0.7583693438759943,0.5959821428571428,0.6128946849396447
KNN,{'n_neighbors': 5},Autoencoder,Autoencoder + Tabular,0.7309546769527483,0.6397866936784736,0.7468476177656417,0.5987394957983192,0.6136067622961362
KNN,{'n_neighbors': 5},Autoencoder,Autoencoder Tabular + FE Only,0.7340619307832422,0.6479588354686495,0.7457601238493686,0.613095238095238,0.6254945092183815
KNN,{'n_neighbors': 5},Autoencoder,Autoencoder + Tabular + FE,0.723037100949094,0.6414657474931641,0.7320279323230063,0.6109022556390977,0.6216118580979948
KNN,{'n_neighbors': 5},Autoencoder,Autoencoder Clustered,0.7122950819672131,0.6335303911529887,0.7187598690401893,0.6053571428571428,0.6151791525170387
KNN,{'n_neighbors': 5},Autoencoder,Autoencoder Interaction,0.7088212334113974,0.6247908487171321,0.7202474943239898,0.5918367346938774,0.603166013149868
KNN,{'n_neighbors': 5},RDF2Vec,Baseline,0.7123695976154992,0.6306965820087204,0.723872608218354,0.5974025974025973,0.6089278765202953
KNN,{'n_neighbors': 5},RDF2Vec,RDF2Vec Only,0.7049180327868853,0.6032749914866021,0.6923998861219038,0.5714285714285713,0.5824527514541955
KNN,{'n_neighbors': 5},RDF2Vec,RDF2Vec + Tabular,0.7076502732240438,0.6085872514567116,0.6965360019779355,0.5758928571428572,0.5872892789671335
KNN,{'n_neighbors': 5},RDF2Vec,RDF2Vec Tabular + FE Only,0.7108196721311476,0.6144324406437262,0.700674561898818,0.5814285714285714,0.592994788100419
KNN,{'n_neighbors': 5},RDF2Vec,RDF2Vec + Tabular + FE,0.7131147540983608,0.6189069325716302,0.7041742582360431,0.5851648351648352,0.5970538120875069
KNN,{'n_neighbors': 5},RDF2Vec,RDF2Vec Clustered,0.7182756527018823,0.6271735374081585,0.7087450711493952,0.5952380952380953,0.60646159052083
KNN,{'n_neighbors': 5},RDF2Vec,RDF2Vec Interaction,0.7207259953161593,0.6306103487621224,0.7153876343978192,0.5956632653061226,0.6079756394962311
KNN,{'n_neighbors': 5},Node2Vec,Baseline,0.7230073487846242,0.6348898878093623,0.7183053021772047,0.5997536945812809,0.6121808590756463
KNN,{'n_neighbors': 5},Node2Vec,Node2Vec Only,0.7131147540983608,0.618604940329538,0.7020540997969389,0.5833333333333335,0.5957748304397915
KNN,{'n_neighbors': 5},Node2Vec,Node2Vec + Tabular,0.7170809095716553,0.6249342911193855,0.7067024787116778,0.5898617511520738,0.6022692374990035
KNN,{'n_neighbors': 5},Node2Vec,Node2Vec Tabular + FE Only,0.7192622950819672,0.6289900001822821,0.7096180262519379,0.59375,0.6062585428052617
KNN,{'n_neighbors': 5},Node2Vec,Node2Vec + Tabular + FE,0.7228017883755588,0.6346210551711468,0.7137554753398746,0.5995670995670995,0.6120416611831435
KNN,{'n_neighbors': 5},Node2Vec,Node2Vec Clustered,0.7251687560270008,0.6385801644081944,0.7172724711632116,0.6029411764705882,0.6156667334320822
KNN,{'n_neighbors': 5},Node2Vec,Node2Vec Interaction,0.7269320843091334,0.6410037098627932,0.7223428817615559,0.6030612244897959,0.6166149685292245
KNN,{'n_neighbors': 5},TransH,Baseline,0.7308743169398907,0.6467023247597669,0.7277407646755868,0.6081349206349206,0.6219540952204061
