Model,Settings,Embedding Method,Scenario,Accuracy,F1_Score,Precision,Recall,F2_Score
KNN,{'n_neighbors': 5},TransH,Baseline,0.7833333333333333,0.7346938775510204,0.8571428571428571,0.6428571428571429,0.6766917293233083
KNN,{'n_neighbors': 5},TransH,TransH Only,0.6583333333333333,0.3673469387755102,0.42857142857142855,0.32142857142857145,0.33834586466165417
KNN,{'n_neighbors': 5},TransH,TransH + Tabular,0.7000000000000001,0.489795918367347,0.5714285714285714,0.4285714285714286,0.4511278195488722
KNN,{'n_neighbors': 5},TransH,TransH FE Only,0.7250000000000001,0.5732292917166867,0.6035714285714285,0.5714285714285714,0.568609022556391
KNN,{'n_neighbors': 5},TransH,TransH + Tabular + FE,0.7366666666666667,0.6055222088835535,0.6542857142857142,0.5857142857142856,0.5902255639097744
KNN,{'n_neighbors': 5},DistMult,Baseline,0.7444444444444445,0.6270508203281312,0.688095238095238,0.5952380952380952,0.6046365914786967
KNN,{'n_neighbors': 5},DistMult,DistMult Only,0.6880952380952381,0.571085577087978,0.6270629991126885,0.5408163265306122,0.5500059672992005
KNN,{'n_neighbors': 5},DistMult,DistMult + Tabular,0.6979166666666667,0.5882415466186475,0.6549301242236025,0.5491071428571428,0.5617476456292245
KNN,{'n_neighbors': 5},DistMult,DistMult FE Only,0.7055555555555556,0.6117702636610199,0.6562341844950541,0.5992063492063492,0.6003413415694117
KNN,{'n_neighbors': 5},DistMult,DistMult + Tabular + FE,0.7116666666666667,0.6214265706282512,0.6756107660455487,0.5999999999999999,0.6047011468064099
KNN,{'n_neighbors': 10},TransH,Baseline,0.8,0.7391304347826088,0.9444444444444444,0.6071428571428571,0.653846153846154
KNN,{'n_neighbors': 10},TransH,TransH Only,0.6416666666666667,0.6572364502680166,0.7055555555555555,0.6785714285714286,0.6613179813816756
KNN,{'n_neighbors': 10},TransH,TransH + Tabular,0.688888888888889,0.6751946705490481,0.7840958605664486,0.6428571428571429,0.6475970005076804
KNN,{'n_neighbors': 10},TransH,TransH FE Only,0.7208333333333334,0.6978853646139138,0.8249140006879944,0.6428571428571429,0.6574534755715999
KNN,{'n_neighbors': 10},TransH,TransH + Tabular + FE,0.7333333333333334,0.7005305139133533,0.8481664946680425,0.6285714285714287,0.6499937882092179
KNN,{'n_neighbors': 10},DistMult,Baseline,0.7444444444444445,0.7069638340582292,0.8642128196307762,0.6250000000000001,0.6506358491487073
KNN,{'n_neighbors': 10},DistMult,DistMult Only,0.7238095238095238,0.6586005795687077,0.8407538453978082,0.5714285714285714,0.598671477256269
KNN,{'n_neighbors': 10},DistMult,DistMult + Tabular,0.7312500000000001,0.6651643960115081,0.8533066735466116,0.5714285714285714,0.6013569224441966
KNN,{'n_neighbors': 10},DistMult,DistMult FE Only,0.7388888888888889,0.6808629756661434,0.8401941673355502,0.6071428571428572,0.6296688625683574
KNN,{'n_neighbors': 10},DistMult,DistMult + Tabular + FE,0.7416666666666667,0.6823418954908334,0.8450636394908841,0.6035714285714285,0.6282404378499832
KNN,{'n_neighbors': 15},TransH,Baseline,0.8,0.75,0.9,0.6428571428571429,0.6818181818181819
KNN,{'n_neighbors': 15},TransH,TransH Only,0.6333333333333333,0.6931818181818181,0.6833333333333333,0.8214285714285714,0.7478858350951374
KNN,{'n_neighbors': 15},TransH,TransH + Tabular,0.6833333333333332,0.7032559638942617,0.7538011695906434,0.75,0.7148755440074454
KNN,{'n_neighbors': 15},TransH,TransH FE Only,0.6875,0.6590209202891173,0.8153508771929825,0.6517857142857143,0.6386156743990267
KNN,{'n_neighbors': 15},TransH,TransH + Tabular + FE,0.71,0.6772167362312939,0.8322807017543861,0.65,0.6472561758828578
KNN,{'n_neighbors': 15},DistMult,Baseline,0.725,0.6893472801927448,0.8435672514619884,0.6488095238095238,0.6530165102054117
KNN,{'n_neighbors': 15},DistMult,DistMult Only,0.6904761904761905,0.6676281591417557,0.7889917100443418,0.6479591836734694,0.6448750787569565
KNN,{'n_neighbors': 15},DistMult,DistMult + Tabular,0.7041666666666667,0.6779246392490363,0.802867746288799,0.6473214285714286,0.6494929666396096
KNN,{'n_neighbors': 15},DistMult,DistMult FE Only,0.6777777777777778,0.6733067500395475,0.7655120707752288,0.6865079365079365,0.6677663579432189
KNN,{'n_neighbors': 15},DistMult,DistMult + Tabular + FE,0.6900000000000001,0.6809760750355928,0.7789608636977059,0.6821428571428572,0.6691715403307151
KNN,{'n_neighbors': 20},TransH,Baseline,0.7666666666666667,0.6956521739130435,0.8888888888888888,0.5714285714285714,0.6153846153846154
KNN,{'n_neighbors': 20},TransH,TransH Only,0.6666666666666667,0.4144927536231884,0.9444444444444444,0.3214285714285714,0.35155195681511475
KNN,{'n_neighbors': 20},TransH,TransH + Tabular,0.7055555555555556,0.513365539452496,0.943355119825708,0.4047619047619047,0.44108631746330645
KNN,{'n_neighbors': 20},TransH,TransH FE Only,0.725,0.5594427592405348,0.957516339869281,0.4375,0.47845253337307037
KNN,{'n_neighbors': 20},TransH,TransH + Tabular + FE,0.7366666666666666,0.58977642961465,0.9542483660130718,0.46428571428571425,0.5067930344503943
KNN,{'n_neighbors': 20},DistMult,Baseline,0.7416666666666667,0.6074223869977157,0.943355119825708,0.48214285714285704,0.5248916312727644
KNN,{'n_neighbors': 20},DistMult,DistMult Only,0.7095238095238096,0.5206477602837563,0.8085901027077497,0.4132653061224489,0.4499071125195124
KNN,{'n_neighbors': 20},DistMult,DistMult + Tabular,0.7166666666666668,0.5425233119874171,0.8186274509803921,0.4330357142857143,0.4705918003776503
KNN,{'n_neighbors': 20},DistMult,DistMult FE Only,0.7351851851851853,0.5797088309283863,0.8234542859289309,0.4841269841269842,0.5168065806351376
KNN,{'n_neighbors': 20},DistMult,DistMult + Tabular + FE,0.7383333333333334,0.591303165226852,0.8299977462249266,0.4928571428571429,0.5266643841100853
KNN,{'n_neighbors': 25},TransH,Baseline,0.7833333333333333,0.7234042553191489,0.8947368421052632,0.6071428571428571,0.648854961832061
KNN,{'n_neighbors': 25},TransH,TransH Only,0.6583333333333333,0.36170212765957444,0.4473684210526316,0.30357142857142855,0.3244274809160305
KNN,{'n_neighbors': 25},TransH,TransH + Tabular,0.7000000000000001,0.48226950354609927,0.5964912280701754,0.4047619047619047,0.43256997455470736
KNN,{'n_neighbors': 25},TransH,TransH FE Only,0.7125,0.5202387130254281,0.6973684210526316,0.4196428571428571,0.4544274809160305
KNN,{'n_neighbors': 25},TransH,TransH + Tabular + FE,0.7266666666666667,0.5608718214841723,0.736842105263158,0.45714285714285713,0.4933129770992366
KNN,{'n_neighbors': 25},DistMult,Baseline,0.7361111111111112,0.5879605604566683,0.7631578947368421,0.48214285714285715,0.519236641221374
KNN,{'n_neighbors': 25},DistMult,DistMult Only,0.7000000000000001,0.5947224971981527,0.7218045112781956,0.5510204081632654,0.5591766307679402
KNN,{'n_neighbors': 25},DistMult,DistMult + Tabular,0.7104166666666666,0.6108077169632773,0.743421052631579,0.5580357142857142,0.5703864221509554
KNN,{'n_neighbors': 25},DistMult,DistMult FE Only,0.6833333333333332,0.6136472635633172,0.7126705653021443,0.6071428571428571,0.5974494295088595
KNN,{'n_neighbors': 25},DistMult,DistMult + Tabular + FE,0.695,0.6272825372069855,0.7314035087719299,0.6107142857142857,0.6058863047397918
KNN,{'n_neighbors': 30},TransH,Baseline,0.7833333333333333,0.7234042553191489,0.8947368421052632,0.6071428571428571,0.648854961832061
