Model,Settings,Embedding Method,Scenario,Accuracy,F1_Score,Precision,Recall,F2_Score
KNN,{'n_neighbors': 5},TransH,Baseline,0.975,0.967741935483871,0.9375,1.0,0.9868421052631579
KNN,{'n_neighbors': 5},TransH,TransH Only,0.68125,0.7591003255401007,0.658623417721519,1.0,0.8703054747421317
KNN,{'n_neighbors': 5},TransH,TransH + Tabular,0.7791666666666667,0.8286475288546908,0.7515822784810128,1.0,0.9091510182491405
KNN,{'n_neighbors': 5},TransH,TransH FE Only,0.740625,0.6214856466410181,0.5636867088607596,0.75,0.6818632636868553
KNN,{'n_neighbors': 5},TransH,TransH + Tabular + FE,0.7875,0.6907369044095887,0.6384493670886077,0.8,0.7428590320021159
KNN,{'n_neighbors': 5},DistMult,Baseline,0.81875,0.7369044095886358,0.6882911392405063,0.8333333333333334,0.7835228775456229
KNN,{'n_neighbors': 5},DistMult,DistMult Only,0.7910714285714285,0.6316323510759735,0.5899638336347197,0.7142857142857143,0.6715910378962482
KNN,{'n_neighbors': 5},DistMult,DistMult + Tabular,0.815625,0.675629126863608,0.6371860963658637,0.75,0.7118143435896807
KNN,{'n_neighbors': 5},DistMult,DistMult FE Only,0.7944444444444445,0.6005592238787627,0.566387641214101,0.6666666666666666,0.632723860968605
KNN,{'n_neighbors': 5},DistMult,DistMult + Tabular + FE,0.8125,0.6372774950392734,0.6034988770926909,0.7,0.6681356853980602
KNN,{'n_neighbors': 10},TransH,Baseline,0.9875,0.9836065573770492,0.967741935483871,1.0,0.9933774834437086
KNN,{'n_neighbors': 10},TransH,TransH Only,0.80625,0.4918032786885246,0.4838709677419355,0.5,0.4966887417218543
KNN,{'n_neighbors': 10},TransH,TransH + Tabular,0.8666666666666667,0.6557377049180327,0.6451612903225806,0.6666666666666666,0.662251655629139
KNN,{'n_neighbors': 10},TransH,TransH FE Only,0.8187500000000001,0.5506268081002893,0.7338709677419355,0.5333333333333333,0.5370113223670155
