Model,Settings,Embedding Method,Scenario,Accuracy,F1_Score,Precision,Recall,F2_Score
KNN,{'n_neighbors': 5},Autoencoder,Baseline,1.0,1.0,1.0,1.0,1.0
KNN,{'n_neighbors': 5},Autoencoder,Autoencoder Only,0.8125,0.5,0.5,0.5,0.5
KNN,{'n_neighbors': 5},Autoencoder,Autoencoder + Tabular,0.8666666666666667,0.6555555555555556,0.6555555555555556,0.6555555555555556,0.6555555555555556
KNN,{'n_neighbors': 5},Autoencoder,Autoencoder Tabular + FE Only,0.8812500000000001,0.718939393939394,0.7000000000000001,0.7416666666666667,0.732051282051282
KNN,{'n_neighbors': 5},Autoencoder,Autoencoder + Tabular + FE,0.8625,0.6960817477096548,0.76,0.68,0.6833853865432813
KNN,{'n_neighbors': 5},Autoencoder,Baseline,0.8833333333333333,0.7440025493208872,0.7946236559139784,0.7333333333333334,0.7350507360266859
KNN,{'n_neighbors': 5},Autoencoder,Autoencoder Only,0.8303571428571429,0.6921382395539578,0.733054042731462,0.6857142857142858,0.6860658969864591
KNN,{'n_neighbors': 5},Autoencoder,Autoencoder + Tabular,0.8390625,0.7159150772567717,0.7401064979163451,0.725,0.7189785459391009
KNN,{'n_neighbors': 5},Autoencoder,Autoencoder Tabular + FE Only,0.8541666666666666,0.743895839282005,0.7620391092589734,0.7555555555555555,0.7487411636417739
KNN,{'n_neighbors': 5},Autoencoder,Autoencoder + Tabular + FE,0.8550000000000001,0.7540132976073256,0.7590059300403931,0.78,0.7670347491409506
KNN,{'n_neighbors': 5},Autoencoder,Baseline,0.8647727272727274,0.7720467207685644,0.7726500190449854,0.8,0.7864308771156591
KNN,{'n_neighbors': 5},Autoencoder,Autoencoder Only,0.8375,0.7404963792837523,0.7405205819740323,0.7666666666666667,0.754007553470811
KNN,{'n_neighbors': 5},Autoencoder,Autoencoder + Tabular,0.8423076923076924,0.7514084225062692,0.7442862052229933,0.7846153846153847,0.7690352100197944
KNN,{'n_neighbors': 5},Autoencoder,Autoencoder Tabular + FE Only,0.8535714285714286,0.7691649637558214,0.7625514762784938,0.8,0.7855326950183805
KNN,{'n_neighbors': 5},Autoencoder,Autoencoder + Tabular + FE,0.8566666666666668,0.776710828917198,0.7643462901406293,0.8133333333333334,0.7964549879243281
KNN,{'n_neighbors': 5},Autoencoder,Baseline,0.8656250000000001,0.790666402109873,0.7790746470068401,0.8250000000000001,0.8091765511790578
