Model,Settings,Embedding Method,Scenario,Accuracy,F1_Score,Precision,Recall,F2_Score
KNN,{'n_neighbors': 5},TransH,Baseline,0.975,0.967741935483871,0.9375,1.0,0.9868421052631579
KNN,{'n_neighbors': 5},TransH,TransH Only,0.81875,0.5747800586510264,0.96875,0.55,0.5543966623876765
KNN,{'n_neighbors': 5},TransH,TransH + Tabular,0.8708333333333332,0.7057673509286412,0.9583333333333334,0.7000000000000001,0.6985451433461702
KNN,{'n_neighbors': 5},TransH,TransH FE Only,0.809375,0.5293255131964809,0.71875,0.525,0.5239088575096277
KNN,{'n_neighbors': 5},TransH,TransH + Tabular + FE,0.8424999999999999,0.6170087976539589,0.7625,0.62,0.6164955070603337
KNN,{'n_neighbors': 5},DistMult,Baseline,0.8645833333333331,0.6754643206256109,0.7916666666666666,0.6833333333333332,0.6782199400941377
KNN,{'n_neighbors': 5},DistMult,DistMult Only,0.8303571428571427,0.578969417679095,0.6785714285714286,0.5857142857142856,0.5813313772235466
KNN,{'n_neighbors': 5},DistMult,DistMult + Tabular,0.8484375,0.6275659824046921,0.7109375,0.6375,0.632020218228498
KNN,{'n_neighbors': 5},DistMult,DistMult FE Only,0.85,0.6512341743758294,0.7145655270655271,0.674074074074074,0.6631234923736193
KNN,{'n_neighbors': 5},DistMult,DistMult + Tabular + FE,0.8625,0.6828849504866336,0.7368589743589744,0.7066666666666667,0.6954953536625732
KNN,{'n_neighbors': 10},TransH,Baseline,0.9875,0.9836065573770492,0.967741935483871,1.0,0.9933774834437086
KNN,{'n_neighbors': 10},TransH,TransH Only,0.8625,0.7683990233693756,0.8662239089184061,0.7166666666666667,0.733915019094117
KNN,{'n_neighbors': 10},TransH,TransH + Tabular,0.9041666666666668,0.8401348680386,0.9000632511068943,0.8111111111111112,0.8204025072106477
KNN,{'n_neighbors': 10},TransH,TransH FE Only,0.8625,0.7454857664135655,0.9250474383301708,0.6833333333333333,0.7025111827335672
KNN,{'n_neighbors': 10},TransH,TransH + Tabular + FE,0.8875,0.7931099246062623,0.9335863377609108,0.7466666666666667,0.7606844428755954
KNN,{'n_neighbors': 10},DistMult,Baseline,0.9041666666666667,0.8248593634013934,0.9392789373814042,0.7888888888888889,0.7994666163036143
KNN,{'n_neighbors': 10},DistMult,DistMult Only,0.8642857142857142,0.7070223114869086,0.8050962320412036,0.6761904761904762,0.6852570996888122
KNN,{'n_neighbors': 10},DistMult,DistMult + Tabular,0.8796875000000001,0.7415953422231761,0.825426944971537,0.7166666666666667,0.7237721476581742
KNN,{'n_neighbors': 10},DistMult,DistMult FE Only,0.8569444444444445,0.7367152395988956,0.793236649498509,0.7481481481481481,0.738049989837569
KNN,{'n_neighbors': 10},DistMult,DistMult + Tabular + FE,0.8700000000000001,0.761404371376711,0.8106871780970453,0.7733333333333333,0.763582739198183
KNN,{'n_neighbors': 15},TransH,Baseline,0.975,0.967741935483871,0.9375,1.0,0.9868421052631579
KNN,{'n_neighbors': 15},TransH,TransH Only,0.75625,0.5326514555468136,0.5596590909090909,0.5333333333333333,0.5315889915628766
KNN,{'n_neighbors': 15},TransH,TransH + Tabular,0.8291666666666666,0.6776816155258327,0.6856060606060606,0.6888888888888888,0.6833400294629705
KNN,{'n_neighbors': 15},TransH,TransH FE Only,0.825,0.6749278783110412,0.7642045454545454,0.6416666666666666,0.6513939109861167
KNN,{'n_neighbors': 15},TransH,TransH + Tabular + FE,0.8549999999999999,0.7334906897456072,0.7988636363636363,0.7133333333333333,0.718483549841525
KNN,{'n_neighbors': 15},DistMult,Baseline,0.8749999999999999,0.7725325640353177,0.8219696969696969,0.7611111111111111,0.7632099757451304
KNN,{'n_neighbors': 15},DistMult,DistMult Only,0.8392857142857142,0.6621707691731294,0.7045454545454545,0.6523809523809524,0.6541799792101118
KNN,{'n_neighbors': 15},DistMult,DistMult + Tabular,0.85625,0.7003671649619723,0.7336647727272727,0.6958333333333333,0.6957627449667425
KNN,{'n_neighbors': 15},DistMult,DistMult FE Only,0.8083333333333332,0.685441672838315,0.6960061137692716,0.7296296296296296,0.7034897869092133
KNN,{'n_neighbors': 15},DistMult,DistMult + Tabular + FE,0.825,0.7136716991028706,0.7201555023923445,0.7566666666666666,0.7318250187446077
KNN,{'n_neighbors': 20},TransH,Baseline,0.975,0.967741935483871,0.9375,1.0,0.9868421052631579
KNN,{'n_neighbors': 20},TransH,TransH Only,0.68125,0.7591003255401007,0.658623417721519,1.0,0.8703054747421317
KNN,{'n_neighbors': 20},TransH,TransH + Tabular,0.7791666666666667,0.8286475288546908,0.7515822784810128,1.0,0.9091510182491405
KNN,{'n_neighbors': 20},TransH,TransH FE Only,0.75625,0.6929142180695895,0.8136867088607596,0.7916666666666666,0.7318632636868554
KNN,{'n_neighbors': 20},TransH,TransH + Tabular + FE,0.8,0.7478797615524458,0.8384493670886076,0.8333333333333333,0.7828590320021159
KNN,{'n_neighbors': 20},DistMult,Baseline,0.8291666666666666,0.7845234572076834,0.8549578059071731,0.861111111111111,0.8168562108789562
KNN,{'n_neighbors': 20},DistMult,DistMult Only,0.7839285714285714,0.6857377141514363,0.7547989984698846,0.7476190476190475,0.7109036050283642
KNN,{'n_neighbors': 20},DistMult,DistMult + Tabular,0.8078125,0.7209882418179906,0.7776366236611489,0.7791666666666667,0.7453959175577134
KNN,{'n_neighbors': 20},DistMult,DistMult FE Only,0.7930555555555556,0.7183978170165085,0.7507563638892752,0.8037037037037037,0.7572711186371595
KNN,{'n_neighbors': 20},DistMult,DistMult + Tabular + FE,0.81125,0.7433322288632447,0.7694307275003477,0.8233333333333335,0.7802282172997592
KNN,{'n_neighbors': 25},TransH,Baseline,0.9625,0.9523809523809523,0.9090909090909091,1.0,0.980392156862745
KNN,{'n_neighbors': 25},TransH,TransH Only,0.75,0.6134453781512605,0.6212121212121212,0.6166666666666667,0.6143095536086774
KNN,{'n_neighbors': 25},TransH,TransH + Tabular,0.8208333333333333,0.7264239028944912,0.7171717171717171,0.7444444444444445,0.7363370880267
KNN,{'n_neighbors': 25},TransH,TransH FE Only,0.8374999999999999,0.7539088362617775,0.7678787878787878,0.75,0.7505286780889905
KNN,{'n_neighbors': 25},TransH,TransH + Tabular + FE,0.8625,0.7936032594856124,0.7961212121212121,0.8,0.7965013738437413
KNN,{'n_neighbors': 25},DistMult,Baseline,0.8791666666666668,0.8200662083015025,0.814949494949495,0.8333333333333334,0.827149837680242
KNN,{'n_neighbors': 25},DistMult,DistMult Only,0.8142857142857143,0.7324705430761647,0.7291403834260978,0.7428571428571429,0.737943104112022
KNN,{'n_neighbors': 25},DistMult,DistMult + Tabular,0.8328125,0.759959344239263,0.751634199134199,0.775,0.7682492357058623
KNN,{'n_neighbors': 25},DistMult,DistMult FE Only,0.8374999999999999,0.7707575123396624,0.7514526214526214,0.8,0.7870548761829887
KNN,{'n_neighbors': 25},DistMult,DistMult + Tabular + FE,0.85,0.7889198563437914,0.7672164502164501,0.82,0.8063886042509644
